"collar_info_name","collar_info_url","collar_info_rating_count"
"Wagz® Freedom Smart Dog Collar™, Shock-Free Wireless Pet Containment and Wellness System with Wagz Phone App, Virtual Geofences, GPS Tracking, Activity and Health Tracking","https://www.amazon.com/Wagz-Shock-Free-Wireless-Containment-Geofences/dp/B08Z4F4R4K/ref=sr_1_1?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-1","93"
"Dr.Trainer B1sPro Bark Collar APP&Watch Control, IP68 Waterproof Dog Training Collar with Smart Progressive Correction & Barking Report & Custom Sound, 0~99 Static Level Rechargeable Anti Bark Collar","https://www.amazon.com/Dr-Trainer-Waterproof-Progressive-Correction-Rechargeable/dp/B08HGS6YDG/ref=sr_1_2?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-2","1,253"
"Whistle Switch GPS + Health + Fitness - Smart Dog Collar, 24/7 Dog GPS Tracker Plus Dog Health & Fitness Monitor, Sleek Design, Waterproof Pet Tracker with 2 Rechargeable Batteries (Newest Model)","https://www.amazon.com/Whistle-GPS-Health-Fitness-Rechargeable/dp/B09H12CJRT/ref=sr_1_3?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-3","12"
"PetSafe SMART DOG Training Collar – Uses Smartphone as Handheld Remote Control – Tone, Vibration, 1-15 Levels of Static Stimulation – Bluetooth Wireless System – All in One Pet Training Solution","https://www.amazon.com/PetSafe-Smart-Bluetooth-Training-Collar/dp/B01K73MUTI/ref=sr_1_4?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-4","250"
"PetSafe Stay and Play Wireless Collar","https://www.amazon.com/PetSafe-Stay-Play-Wireless-Collar/dp/B00CGXI5YW/ref=sr_1_5?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-5","74"
"Dr.Trainer B1sPro Bark Collar with APP& Watch Control, Waterproof Dog Bark Collar with Barking Record, Humane Custom Settings and Progressive Mode, Rechargeable Dog Shock Collar","https://www.amazon.com/Control-Waterproof-Training-Settings-Technology/dp/B08GC9RM4L/ref=sr_1_6?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-6","758"
"Laptom Pro 2 Pack Smart Dog Bark Collar - 5 Adjustable Sensitivity/Vibration&Sound/Rechargeable/IPX7 Waterproof - No Shock Bark Control Training Collar for Small Medium Large Dog (V1)","https://www.amazon.com/Laptom-Pro-Pack-Smart-Collar/dp/B09C66QJ5Z/ref=sr_1_7?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-7","335"
"Dr.Trainer B1/B1Pro Bark Collar with Smartphone APP Control/Watch APP, Anti Barking Collar Smart Progressive Mode with Barking Report, Stop Barking Collar for Small Medium Large Dogs (No Shock)","https://www.amazon.com/Dr-Trainer-Control-Barking-Training-Progressive/dp/B08HGPYFFB/ref=sr_1_8?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-8","511"
"NPS No Shock Bark Collar for Small to Large Dogs - Smart Chip Adjusts to Stop Barking in 1 Minute - Highly Effective Vibration and Sound Stops Barks Fast with No Pain - Safe, Anti-Bark Device","https://www.amazon.com/Shock-Bark-Collar-Small-Large/dp/B07TNR3FZH/ref=sr_1_9?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-9","3,578"
"FitBark GPS Dog Tracker | Health & Location Pet Tracking Smart Collar Device | Small (17 g) & Waterproof | 4G LTE-M Real-Time US Verizon Coverage Nationwide | iPhone & Android Apps","https://www.amazon.com/FitBark-Location-Waterproof-Real-Time-Nationwide/dp/B084L3YM82/ref=sr_1_10?crid=FQ5GJHSLM8V1&keywords=smart+collar&qid=1643245210&sprefix=smart+collar%2Caps%2C204&sr=8-10","723"
